"slug","title","description","url","tags","category","author","source"
"arangodb","ArangoDB","MCP Server that provides database interaction capabilities through [ArangoDB](https://arangodb.com/).","https://github.com/ravenwits/mcp-server-arangodb","ArangoDB;TypeScript","Databases","{'name': 'ravenwits'}","Local Servers"
"armor-crypto","Armor Crypto MCP","*Alpha Test version 0.1*","https://github.com/armorwallet/armor-crypto-mcp","crypto;wallet;blockchain;AI;Solana;DCA;swaps;staking;multi-chain;agent integration","Finance","{'name': 'armorwallet'}","Local Servers"
"arxiv-mcp","ArXiv MCP Server","The ArXiv MCP Server provides a bridge between AI assistants and arXiv's research repository through the Model Context Protocol (MCP). It allows AI models to search for papers and access their content in a programmatic way.","https://github.com/blazickjp/arxiv-mcp-server","arxiv;research;papers;academic;AI;search;MCP;Model Context Protocol","Knowledge Base","{'name': 'blazickjp'}","Local Servers"
"atlas-docs-mcp","Atlas Docs MCP Server","A [Model Context Protocol (MCP)](https://modelcontextprotocol.io/introduction) server that provides AI assistants with documentation for libraries and frameworks.","https://github.com/CartographAI/atlas-docs-mcp","documentation;MCP;Model Context Protocol;libraries;frameworks;AI assistants;LLM;developer tools","Knowledge Base","{'name': 'CartographAI'}","Local Servers"
"atlassian","Atlassian","Interact with Atlassian Cloud products (Confluence and Jira) including searching/reading Confluence spaces/pages, accessing Jira issues, and project metadata.","https://github.com/sooperset/mcp-atlassian","Atlassian;Confluence;Jira","Productivity","{'name': 'sooperset'}","Local Servers"
"aws-athena","AWS Athena","A MCP server for AWS Athena to run SQL queries on Glue Catalog.","https://github.com/lishenxydlgzs/aws-athena-mcp","athena;sql;aws","Databases","{'name': 'lishenxydlgzs'}","Local Servers"
"aws-cost-explorer","AWS Cost Explorer","Optimize your AWS spend (including Amazon Bedrock spend) with this MCP server by examining spend across regions, services, instance types and foundation models ([demo video](https://www.youtube.com/watch?v=WuVOmYLRFmI&feature=youtu.be)).","https://github.com/aarora79/aws-cost-explorer-mcp-server","Cost Explorer;Amazon Bedrock;AWS","Analytics","{'name': 'aarora79'}","Local Servers"
"aws-kb-retrieval","AWS Knowledge Base Retrieval","Retrieval from AWS Knowledge Base using Bedrock Agent Runtime","https://github.com/modelcontextprotocol/servers","Knowledge Base;Retrieval;AWS;Bedrock Agent Runtime","Knowledge Base","{'name': 'modelcontextprotocol'}","Local Servers"
"aws-knowledge-mcp-server","AWS Knowledge MCP Server","MCP server providing access to the AWS Knowledge service.","https://github.com/aws/aws-knowledge-mcp-server","aws;knowledge;search","Knowledge","{'name': 'aws'}","Local Servers"
"aws-resources-operations","AWS Resources","Run generated python code to securely query or modify any AWS resources supported by boto3.","https://github.com/baryhuang/mcp-server-aws-resources-python","AWS;Docker;boto3","Dev Tools","{'name': 'baryhuang'}","Local Servers"
"aws-s3","Sample S3 Model Context Protocol","A sample MCP server for AWS S3 that flexibly fetches objects from S3 such as PDF documents.","https://github.com/aws-samples/sample-mcp-server-s3","S3;PDF;aws","Knowledge Base","{'name': 'aws-samples'}","Local Servers"
"aws","AWS","Perform operations on your AWS resources using an LLM.","https://github.com/rishikavikondala/mcp-server-aws","s3;dynamodb;aws","Dev Tools","{'name': 'rishikavikondala'}","Local Servers"
"awslabs-aws-documentation-mcp-server","AWS Documentation MCP Server (awslabs)","MCP server to provide access to AWS documentation and reference data.","https://github.com/awslabs/aws-documentation-mcp-server","aws;documentation;search;aws-docs","Documentation","{'name': 'awslabs'}","Local Servers"
"azure-adx","Azure Data Explorer","Query and analyze Azure Data Explorer databases.","https://github.com/pab1it0/adx-mcp-server","Azure;KQL;Data Explorer","Databases","{'name': 'pab1it0'}","Local Servers"
"baidumap","Baidu Maps MCP Server","百度地图API现已全面兼容[MCP协议](https://modelcontextprotocol.io/)，是国内首家兼容MCP协议的地图服务商。","https://github.com/baidu-maps/mcp","maps;geolocation;geocoding;routing;places;weather;traffic;navigation;MCP;baidu","Web Services","{'name': 'baidu-maps'}","Local Servers"
"base-free-usdc-transfer","Free USDC Transfer","Send USDC on [Base](https://base.org/) for free using Claude AI! Built with [Coinbase CDP](https://docs.cdp.coinbase.com/mpc-wallet/docs/welcome).","https://github.com/magnetai/mcp-free-usdc-transfer","USDC;Base;Coinbase;MPC Wallet","Finance","{'name': 'magnetai'}","Local Servers"
"basic-memory","Basic Memory","Local-first knowledge management system that builds a semantic graph from Markdown files, enabling persistent memory across conversations with LLMs.","https://github.com/basicmachines-co/basic-memory","LLM;Markdown;Knowledge Base","Knowledge Base","{'name': 'basicmachines-co'}","Local Servers"
"bicscan-mcp","BICScan MCP Server","A powerful and efficient Blockchain address risk scoring API MCP Server, leveraging the BICScan API to provide comprehensive risk assessments and asset information for blockchain addresses, domains, and decentralized applications (dApps).","https://github.com/ahnlabio/bicscan-mcp","blockchain;risk scoring;crypto;API","Finance","{'name': 'ahnlabio'}","Local Servers"
"bigquery","BigQuery","Server implementation for Google BigQuery integration that enables direct BigQuery database access and querying capabilities","https://github.com/ergut/mcp-bigquery-server","BigQuery;AI;LLM","Databases","{'name': 'ergut'}","Local Servers"
"bing-web-search-api","Bing Search API","Server implementation for Microsoft Bing Web Search API.","https://github.com/leehanchung/bing-search-mcp","Bing;Search;Web;News;Images","Web Services","{'name': 'leehanchung'}","Local Servers"
"bitable-mcp","Bitable","MCP server provides access to Lark Bitable through the Model Context Protocol. It allows users to interact with Bitable tables using predefined tools.","https://github.com/lloydzhou/bitable-mcp","Bitable;Lark","Databases","{'name': 'lloydzhou'}","Local Servers"
"blender","Blender","Blender integration allowing prompt enabled 3D scene creation, modeling and manipulation.","https://github.com/ahujasid/blender-mcp","Blender;Claude AI;3D Modeling","Media Creation","{'name': 'ahujasid'}","Local Servers"
"boikot-mcp","Boikot MCP Server","boikot is a community-led initiative to make data on company ethics transparent and accessible.","https://github.com/boikot-xyz/boikot","ethics;corporate ethics;company information;MCP;lookup tool","Analytics","{'name': 'boikot-xyz'}","Local Servers"
"brave-search","Brave Search","Web and local search using Brave's Search API","https://github.com/modelcontextprotocol/servers","brave;search;web;local","Web Services","{'name': 'modelcontextprotocol'}","Local Servers"
"browser-tools-mcp","Browser Tools MCP Server","A Model Context Protocol (MCP) server that provides AI-powered browser tools integration. This server works in conjunction with the Browser Tools Server to provide AI capabilities for browser debugging and analysis.","https://github.com/AgentDeskAI/browser-tools-mcp/tree/main/browser-tools-mcp","MCP;browser tools;AI;debugging;console logs;network analysis;screenshot capture;element inspection;accessibility audit;performance audit;SEO audit;best practices audit","Dev Tools","{'name': 'AgentDeskAI'}","Local Servers"
"calendar","Calendar AutoAuth MCP Server","A Model Context Protocol (MCP) server for Google Calendar integration in Claude Desktop with auto authentication support. This server enables AI assistants to manage Google Calendar events through natural language interactions.","https://github.com/GongRzhe/Calendar-Autoauth-MCP-Server","calendar;google calendar;mcp;oauth;authentication;claude desktop;events","Productivity","{'name': 'GongRzhe'}","Local Servers"
"cfbd-api","College Football Data API","An MCP server for the [College Football Data API](https://collegefootballdata.com/).","https://github.com/lenwood/cfbd-mcp-server","football;college;API;statistics","Analytics","{'name': 'lenwood'}","Local Servers"
"chatmcp","Chat Desktop App","– An Open Source Cross-platform GUI Desktop application compatible with Linux, macOS, and Windows, enabling seamless interaction with MCP servers across dynamically selectable LLMs, by **[AIQL](https://github.com/AI-QL/chat-mcp)**","https://github.com/AI-QL/chat-mcp","LLM;Electron;cross-platform","MCP Tools","{'name': 'AIQL'}","Local Servers"
"chatsum","Chat Summary","Query and Summarize chat messages with LLM. by [mcpso](https://mcp.so/)","https://github.com/mcpso/mcp-server-chatsum","chat;summary","Messaging","{'name': 'idoubi', 'url': 'https://bento.me/idoubi'}","Local Servers"
"chroma-mcp","Chroma MCP Server","Embeddings, vector search, document storage, and full-text search with the open-source AI application database","https://github.com/chroma-core/chroma-mcp","vector database;embeddings;LLM;retrieval;MCP","Databases","{'name': 'chroma-core'}","Local Servers"
"chroma","Chroma","Vector database server for semantic document search and metadata filtering, built on Chroma","https://github.com/privetin/chroma","vector database;semantic search","Databases","{'name': 'privetin'}","Local Servers"
"chronulus-mcp","Chronulus MCP","<img width=""150px"" src=""https://www.chronulus.com/brand-assets/chronulus-logo-blue-on-alpha-square.png"" alt=""Chronulus AI"">","https://github.com/ChronulusAI/chronulus-mcp","forecasting;prediction;AI agents","MCP Tools","{'name': 'ChronulusAI'}","Local Servers"
"claudepost","Claude Post Email Management","ClaudePost enables seamless email management for Gmail, offering secure features like email search, reading, and sending.","https://github.com/ZilongXue/claude-post","Email Management;Natural Language Processing","Messaging","{'name': 'Zilong Xue'}","Local Servers"
"cloudinary","Cloudinary","Cloudinary Model Context Protocol Server to upload media to Cloudinary and get back the media link and details.","https://github.com/felores/cloudinary-mcp-server","cloudinary;images;videos","Media Creation","{'name': 'felores'}","Local Servers"
"code-executor","Code Executor","An MCP server that allows LLMs to execute Python code within a specified Conda environment.","https://github.com/bazinga012/mcp_code_executor","Python;Conda;Execution","Dev Tools","{'name': 'bazinga012'}","Local Servers"
"code-sandbox-mcp","Code Sandbox","An MCP server to create secure code sandbox environment for executing code within Docker containers.","https://github.com/Automata-Labs-team/code-sandbox-mcp","Docker;Sandbox;Code Execution","Dev Tools","{'name': 'Automata-Labs-team'}","Local Servers"
"codemcp","CodeMCP","Make Claude Desktop a pair programming assistant by installing codemcp.  With","https://github.com/ezyang/codemcp","AI coding assistant;Claude integration;pair programming;code editing;Git integration;Claude Desktop","Dev Tools","{'name': 'ezyang'}","Local Servers"
"coin-api-mcp","Coin API","Provides access to [coinmarketcap](https://coinmarketcap.com/) cryptocurrency data.","https://github.com/longmans/coin_api_mcp","CoinMarketCap;Cryptocurrency;Data","Finance","{'name': 'longmans'}","Local Servers"
"contentful-mcp","Contentful Management","Read, update, delete, publish content in your [Contentful](https://contentful.com/) space(s) from this MCP Server.","https://github.com/ivo-toby/contentful-mcp","Contentful;Management API;CRUD Operations","Productivity","{'name': 'ivo-toby'}","Local Servers"
"context7","Context7 MCP","LLMs rely on outdated or generic information about the libraries you use. You get:","https://github.com/upstash/context7","documentation;LLM;MCP;prompt context;up-to-date docs;code examples;Cursor;Claude;VSCode;Windsurf","Knowledge Base","{'name': 'upstash'}","Local Servers"
"crypto-feargreed-mcp","Crypto Fear & Greed Index","Providing real-time and historical Crypto Fear & Greed Index data.","https://github.com/kukapay/crypto-feargreed-mcp","Fear & Greed;Crypto Index;Analytics","Finance","{'name': 'KukaPay', 'url': 'https://github.com/kukapay'}","Local Servers"
"cryptopanic-mcp-server","CryptoPanic News","Providing latest cryptocurrency news to AI agents, powered by CryptoPanic.","https://github.com/kukapay/cryptopanic-mcp-server","cryptocurrency;news;CryptoPanic","Finance","{'name': 'kukapay', 'url': 'https://github.com/kukapay'}","Local Servers"
"cursor-talk-to-figma-mcp","Cursor Talk to Figma MCP","Here is a concise description paragraph extracted from the README content, focused on what the project does, and kept under 200 characters:

Tailwind UI is a professional collection of UI components built with Tailwind CSS, including application UI like modals, dropdowns, and navigation menus, as well as marketing UI like headers, pricing tables, and testimonials.","https://github.com/sonnylazuardi/cursor-talk-to-figma-mcp","figma;cursor;mcp;plugin","Media Creation","{'name': 'sonnylazuardi'}","Local Servers"
"dappier","Dappier MCP Server","Dappier MCP Server connects any LLM or AI to real-time, proprietary data from trusted sources, enabling AI to become an expert by accessing specialized models like web search, news, sports, finance, crypto, and premium publisher content.","https://github.com/dappierai/dappier-mcp","MCP;Model Context Protocol;real-time data;web search;financial data;stock market;news;AI recommendations;content discovery","Knowledge Base","{'name': 'dappierai'}","Local Servers"
"dart-mcp-server","Dart MCP Server","<h1>Dart MCP Server</h1>","https://github.com/its-dart/dart-mcp-server","AI;MCP;Model Context Protocol;Project Management","Dev Tools","{'name': 'its-dart'}","Local Servers"
"data-exploration","Data Exploration","MCP server for autonomous data exploration on .csv-based datasets, providing intelligent insights with minimal effort. NOTE: Will execute arbitrary Python code on your machine, please use with caution!","https://github.com/reading-plus-ai/mcp-server-data-exploration","data;exploration","Analytics","{'name': 'reading-plus-ai'}","Local Servers"
"dataset-viewer","Dataset Viewer","Browse and analyze Hugging Face datasets with features like search, filtering, statistics, and data export","https://github.com/privetin/dataset-viewer","Hugging Face;datasets;data analysis","Analytics","{'name': 'privetin', 'url': 'https://github.com/privetin'}","Local Servers"
"dbhub","DBHub - Universal Database Gateway","Universal database MCP server connecting to MySQL, PostgreSQL, SQLite, DuckDB and etc.","https://github.com/bytebase/dbhub","Database Gateway;PostgreSQL;MySQL;SQL Server;SQLite","Databases","{'name': 'bytebase'}","Local Servers"
"deebo-prototype","Deebo: AI Agent's Debugging Partner","Deebo is an autonomous debugging system that AI coding agents (Claude, Cline, Cursor, etc.) can delegate tricky bugs to using the Model Context Protocol (MCP). It runs structured investigations in parallel Git branches to test hypotheses, validate fixes, and helps you move faster. If your main coding agent is like a single-threaded process, Deebo introduces multi-threadedness to your development workflow.","https://github.com/snagasuri/deebo-prototype","debugging;AI;coding;MCP;Model Context Protocol;autonomous;development;git","Dev Tools","{'name': 'snagasuri'}","Local Servers"
"deepseek-mcp-server","DeepSeek","Model Context Protocol server integrating DeepSeek's advanced language models, in addition to [other useful API endpoints](https://github.com/DMontgomery40/deepseek-mcp-server?tab=readme-ov-file#features)","https://github.com/DMontgomery40/deepseek-mcp-server","DeepSeek;API;Language Model","AI Systems","{'name': 'DMontgomery40'}","Local Servers"
"deepseek-r1","Deepseek R1","A Model Context Protocol (MCP) server implementation connecting Claude Desktop with DeepSeek's language models (R1/V3)","https://github.com/66julienmartin/MCP-server-Deepseek_R1","Deepseek;LLM","AI Systems","{'name': '66julienmartin', 'url': 'https://github.com/66julienmartin'}","Local Servers"
"deepseek-thinker-mcp","Deepseek Thinker","A MCP (Model Context Protocol) provider Deepseek reasoning content to MCP-enabled AI Clients, like Claude Desktop. Supports access to Deepseek's thought processes from the Deepseek API service or from a local Ollama server.","https://github.com/ruixingshi/deepseek-thinker-mcp","Deepseek;AI Clients;Reasoning","AI Systems","{'name': 'ruixingshi'}","Local Servers"
"deepwiki","DeepWiki","AI-powered knowledge base and documentation search system","https://mcp.deepwiki.com/mcp","wiki;documentation;knowledge base;search","Knowledge Base","{'name': 'DeepWiki'}","Local Servers"
"descope","Descope","An MCP server to integrate with [Descope](https://descope.com/) to search audit logs, manage users, and more.","https://github.com/descope-sample-apps/descope-mcp-server","Descope;API;Server","System Tools","{'name': 'Descope', 'url': 'https://descope.com'}","Local Servers"
"desktop-commander-mcp","Desktop Commander MCP","Short version. Four key things. Terminal commands, diff based file editing, ripgrep based text search in folders, ability to read files from urls","https://github.com/wonderwhy-er/DesktopCommanderMCP","terminal;file management;code search;AI assistant;command execution;filesystem;process management;text editing;ripgrep;Claude integration","System Tools","{'name': 'wonderwhy-er'}","Local Servers"
"devhub-cms-mcp","DevHub CMS MCP","Manage and utilize website content within the DevHub CMS platform","https://github.com/devhub/devhub-cms-mcp","cms;content management;devhub","Productivity","{'name': 'devhub'}","Local Servers"
"devrev","DevRev","An MCP server to integrate with DevRev APIs to search through your DevRev Knowledge Graph where objects can be imported from diff. sources listed [here](https://devrev.ai/docs/import#available-sources).","https://github.com/kpsunil97/devrev-mcp-server","devrev;server;search","Knowledge Base","{'name': 'kpsunil97'}","Local Servers"
"dicom","DICOM Model Context Protocol","An MCP server to query and retrieve medical images and for parsing and reading dicom-encapsulated documents (pdf etc.).","https://github.com/ChristianHinge/dicom-mcp","DICOM;Medical Imaging;AI;PDF Extraction","Professional Apps","{'name': 'ChristianHinge', 'url': 'https://github.com/ChristianHinge'}","Local Servers"
"diff-mcp","diff-mcp","diff-mcp is an MCP Server that allows you to compare text or data (JSON, JSON5, YAML, TOML, XML, HTML) and get a readable diff in multiple output formats (text, JSON, JSONPatch).","https://github.com/benjamine/jsondiffpatch/tree/master/packages/diff-mcp","diff;json;text;comparison;mcp;jsondiffpatch;data comparison","Dev Tools","{'name': 'benjamine'}","Local Servers"
"dify","Dify","A simple implementation of an MCP server for dify workflows.","https://github.com/YanxingLiu/dify-mcp-server","dify;server;workflows","AI Systems","{'name': 'YanxingLiu'}","Local Servers"
"discord","Discord","A MCP server to connect to Discord guilds through a bot and read and write messages in channels","https://github.com/v-3/discordmcp","Discord;LLM;Bot","Messaging","{'name': 'v-3', 'url': 'https://github.com/v-3'}","Local Servers"
"discourse","Discourse","A MCP server to search Discourse posts on a Discourse forum.","https://github.com/AshDevFr/discourse-mcp-server","discourse;search","Web Services","{'name': 'AshDevFr'}","Local Servers"
"docker","Docker Integration","Integrate with Docker to manage containers, images, volumes, and networks.","https://github.com/ckreiling/mcp-server-docker","Docker;Container;Image;Volume;Network","Dev Tools","","Local Servers"
"doit","DoiT MCP Server","DoiT MCP Server provides access to the DoiT API. This server enables LLMs like Claude to access DoiT platform data for troubleshooting and analysis.","https://github.com/doitintl/doit-mcp-server","DoiT;API;MCP;cloud;cost analysis;analytics;anomaly detection;Claude;LLM","Web Services","{'name': 'doitintl'}","Local Servers"
"drupal","Drupal Server","Server for interacting with [Drupal](https://www.drupal.org/project/mcp) using STDIO transport layer.","https://github.com/Omedia/mcp-server-drupal","Drupal;TypeScript","Web Services","{'name': 'Omedia'}","Local Servers"
"duckduckgo-mcp","DuckDuckGo Search MCP Server","A Model Context Protocol (MCP) server that provides web search capabilities through DuckDuckGo, with additional features for content fetching and parsing.","https://github.com/nickclyde/duckduckgo-mcp-server","web search;duckduckgo;content fetching;rate limiting;mcp;text extraction","Web Services","{'name': 'nickclyde'}","Local Servers"
"dune-analytics-mcp","Dune Analytics","A mcp server that bridges Dune Analytics data to AI agents.","https://github.com/kukapay/dune-analytics-mcp","Dune;Analytics;AI agents","Finance","{'name': 'Kukapay'}","Local Servers"
"e2b-mcp-server","E2B MCP Server","This repository contains the source code for the [E2B](https://e2b.dev) MCP server.","https://github.com/e2b-dev/mcp-server","code-interpreter;claude;sandbox","MCP Tools","{'name': 'e2b-dev'}","Local Servers"
"edgeone-pages-mcp","EdgeOne Pages MCP","An MCP service for deploying HTML content to EdgeOne Pages and obtaining a publicly accessible URL.","https://github.com/TencentEdgeOne/edgeone-pages-mcp","html;deployment;edge functions;kv store;static content;serverless;mcp;tencent;edgeone","Web Services","{'name': 'TencentEdgeOne'}","Local Servers"
"edubase","EduBase MCP server","<img src=""https://static.edubase.net/media/brand/title/color.png"" alt=""EduBase logo"" height=""150"" />","https://github.com/EduBase/MCP","education;learning;quiz;assessment;API","MCP Tools","{'name': 'EduBase'}","Local Servers"
"elasticsearch","Elasticsearch","MCP server implementation that provides Elasticsearch interaction.","https://github.com/cr7258/elasticsearch-mcp-server","elasticsearch;server","Databases","{'name': 'cr7258'}","Local Servers"
"elevenlabs-mcp","ElevenLabs Official MCP Server","Text-to-speech and speech-to-text via ElevenLabs API.","https://github.com/elevenlabs/elevenlabs-mcp","ElevenLabs;text-to-speech;TTS;speech-to-text;STT;audio","Media Creation","{'name': 'elevenlabs'}","Local Servers"
"ergo-blockchain-mcp","Ergo Blockchain Explorer","-An MCP server to integrate Ergo Blockchain Node and Explorer APIs for checking address balances, analyzing transactions, viewing transaction history, performing forensic analysis of addresses, searching for tokens, and monitoring network status.","https://github.com/marctheshark3/ergo-mcp","Ergo;Blockchain;Python;API","Finance","{'name': 'marctheshark3'}","Local Servers"
"eunomia","Eunomia","Extension of the Eunomia framework that connects Eunomia instruments with MCP servers","https://github.com/whataboutyou-ai/eunomia-MCP-server","Eunomia;Data Governance","AI Systems","{'name': 'whataboutyou-ai'}","Local Servers"
"everart","EverArt","AI image generation using various models","https://github.com/modelcontextprotocol/servers","EverArt;API;Claude Desktop","Media Creation","{'name': 'modelcontextprotocol'}","Local Servers"
"everything-search","Everything Search","Fast file searching capabilities across Windows (using [Everything SDK](https://www.voidtools.com/support/everything/sdk/)), macOS (using mdfind command), and Linux (using locate/plocate command).","https://github.com/mamertofabian/mcp-everything-search","search;everything","System Tools","{'name': 'mamertofabian'}","Local Servers"
"everything","Everything","This MCP server exercises all the features of the MCP protocol. It is a test server for builders of MCP clients.","https://github.com/modelcontextprotocol/servers","testing;reference;example;demo","MCP Tools","{'name': 'MCP Team'}","Local Servers"
"evm-mcp-server","EVM Server","Comprehensive blockchain services for 30+ EVM networks, supporting native tokens, ERC20, NFTs, smart contracts, transactions, and ENS resolution.","https://github.com/mcpdotdirect/evm-mcp-server","Ethereum;Smart Contracts;AI;Token Transfers;NFTs","Finance","{'name': 'mcpdotdirect'}","Local Servers"
"exa-mcp-server","Exa MCP Server","A Model Context Protocol (MCP) server lets AI assistants like Claude use the Exa AI Search API for web searches. This setup allows AI models to get real-time web information in a safe and controlled way.","https://github.com/exa-labs/exa-mcp-server","search;web search;AI;Claude;MCP;Model Context Protocol","Web Services","{'name': 'exa-labs'}","Local Servers"
"excel","Excel","Excel manipulation including data reading/writing, worksheet management, formatting, charts, and pivot table.","https://github.com/haris-musa/excel-mcp-server","Excel Manipulation;Python","Productivity","{'name': 'haris-musa'}","Local Servers"
"f1-mcp-server","Formula One MCP Server","A Model Context Protocol (MCP) server that provides Formula One racing data.","https://github.com/Machine-To-Machine/f1-mcp-server.git","f1;formula one;racing;sports;data;mcp","Web Services","{'name': 'Machine To Machine'}","Local Servers"
"fantasy-pl","Fantasy Premier League","Give your coding agent direct access to up-to date Fantasy Premier League data","https://github.com/rishijatia/fantasy-pl-mcp","FPL;fantasy;football","Analytics","{'name': 'rishijatia'}","Local Servers"
"fastn-ai-unified-api-mcp-server","Fastn AI Unified API","A remote, dynamic MCP server with a unified API that connects to 1,000+ tools, actions, and workflows, featuring built-in authentication and monitoring.","https://github.com/fastnai/mcp-fastn","Fastn;Dynamic Tool Registration;API-Driven Operations","MCP Tools","{'name': 'fastnai'}","Local Servers"
"fetch-mcp","Fetch","A server that flexibly fetches HTML, JSON, Markdown, or plaintext.","https://github.com/zcaceres/fetch-mcp","fetch;web;api;html;json;markdown;plain text","Web Services","{'name': 'zcaceres'}","Local Servers"
"fetch","fetch","A Model Context Protocol server that provides web content fetching capabilities.","https://github.com/modelcontextprotocol/servers","Fetch;Server","Web Services","{'name': 'modelcontextprotocol'}","Local Servers"
"fetcher-mcp","Fetcher MCP","Fetcher MCP is a server for fetching web page content using the Playwright headless browser, capable of executing JavaScript and handling dynamic web content.","https://github.com/jae-jae/fetcher-mcp","web scraping;Playwright;headless browser;content extraction;JavaScript;Markdown;HTML;parallel processing;MCP server","Web Services","{'name': 'jae-jae'}","Local Servers"
"fewsats-mcp","Fewsats MCP Server","This MCP server integrates with [Fewsats](https://fewsats.com) and allows AI Agents to purchase anything in a secure way.","https://github.com/Fewsats/fewsats-mcp","payments;wallet;offers","Finance","{'name': 'Fewsats'}","Local Servers"
"fibery-mcp-server","Fibery MCP Server","This MCP (Model Context Protocol) server provides integration between Fibery and any LLM provider supporting the MCP protocol (e.g., Claude for Desktop), allowing you to interact with your Fibery workspace using natural language.","https://github.com/Fibery-inc/fibery-mcp-server","fibery;mcp;llm","Productivity","{'name': 'Fibery-inc'}","Local Servers"
"figma","Figma","Give your coding agent direct access to Figma file data, helping it one-shot design implementation.","https://github.com/GLips/Figma-Context-MCP","Figma;AI","Professional Apps","{'name': 'GLips'}","Local Servers"
